		x-cp20936、简体中文(GB2312-80)  编码字符对照表
八进制	十进制	16进制	字符	说明
135643	48035	BBA3	唬	
135644	48036	BBA4	护	
135645	48037	BBA5	互	
135646	48038	BBA6	沪	
135647	48039	BBA7	户	
135650	48040	BBA8	花	
135651	48041	BBA9	哗	
135652	48042	BBAA	华	
135653	48043	BBAB	猾	
135654	48044	BBAC	滑	
135655	48045	BBAD	画	
135656	48046	BBAE	划	
135657	48047	BBAF	化	
135660	48048	BBB0	话	
135661	48049	BBB1	槐	
135662	48050	BBB2	徊	
135663	48051	BBB3	怀	
135664	48052	BBB4	淮	
135665	48053	BBB5	坏	
135666	48054	BBB6	欢	
135667	48055	BBB7	环	
135670	48056	BBB8	桓	
135671	48057	BBB9	还	
135672	48058	BBBA	缓	
135673	48059	BBBB	换	
135674	48060	BBBC	患	
135675	48061	BBBD	唤	
135676	48062	BBBE	痪	
135677	48063	BBBF	豢	
135700	48064	BBC0	焕	
135701	48065	BBC1	涣	
135702	48066	BBC2	宦	
135703	48067	BBC3	幻	
135704	48068	BBC4	荒	
135705	48069	BBC5	慌	
135706	48070	BBC6	黄	
135707	48071	BBC7	磺	
135710	48072	BBC8	蝗	
135711	48073	BBC9	簧	
135712	48074	BBCA	皇	
135713	48075	BBCB	凰	
135714	48076	BBCC	惶	
135715	48077	BBCD	煌	
135716	48078	BBCE	晃	
135717	48079	BBCF	幌	
135720	48080	BBD0	恍	
135721	48081	BBD1	谎	
135722	48082	BBD2	灰	
135723	48083	BBD3	挥	
135724	48084	BBD4	辉	
135725	48085	BBD5	徽	
135726	48086	BBD6	恢	
135727	48087	BBD7	蛔	
135730	48088	BBD8	回	
135731	48089	BBD9	毁	
135732	48090	BBDA	悔	
135733	48091	BBDB	慧	
135734	48092	BBDC	卉	
135735	48093	BBDD	惠	
135736	48094	BBDE	晦	
135737	48095	BBDF	贿	
135740	48096	BBE0	秽	
135741	48097	BBE1	会	
135742	48098	BBE2	烩	
135743	48099	BBE3	汇	
135744	48100	BBE4	讳	
135745	48101	BBE5	诲	
135746	48102	BBE6	绘	
135747	48103	BBE7	荤	
135750	48104	BBE8	昏	
135751	48105	BBE9	婚	
135752	48106	BBEA	魂	
135753	48107	BBEB	浑	
135754	48108	BBEC	混	
135755	48109	BBED	豁	
135756	48110	BBEE	活	
135757	48111	BBEF	伙	
135760	48112	BBF0	火	
135761	48113	BBF1	获	
135762	48114	BBF2	或	
135763	48115	BBF3	惑	
135764	48116	BBF4	霍	
135765	48117	BBF5	货	
135766	48118	BBF6	祸	
135767	48119	BBF7	击	
135770	48120	BBF8	圾	
135771	48121	BBF9	基	
135772	48122	BBFA	机	
135773	48123	BBFB	畸	
135774	48124	BBFC	稽	
135775	48125	BBFD	积	
135776	48126	BBFE	箕	
136241	48289	BCA1	肌	
136242	48290	BCA2	饥	
136243	48291	BCA3	迹	
136244	48292	BCA4	激	
136245	48293	BCA5	讥	
136246	48294	BCA6	鸡	
136247	48295	BCA7	姬	
136250	48296	BCA8	绩	
136251	48297	BCA9	缉	
136252	48298	BCAA	吉	
136253	48299	BCAB	极	
136254	48300	BCAC	棘	
136255	48301	BCAD	辑	
136256	48302	BCAE	籍	
136257	48303	BCAF	集	
136260	48304	BCB0	及	
136261	48305	BCB1	急	
136262	48306	BCB2	疾	
136263	48307	BCB3	汲	
136264	48308	BCB4	即	
136265	48309	BCB5	嫉	
136266	48310	BCB6	级	
136267	48311	BCB7	挤	
136270	48312	BCB8	几	
136271	48313	BCB9	脊	
136272	48314	BCBA	己	
136273	48315	BCBB	蓟	
136274	48316	BCBC	技	
136275	48317	BCBD	冀	
136276	48318	BCBE	季	
136277	48319	BCBF	伎	
136300	48320	BCC0	祭	
136301	48321	BCC1	剂	
136302	48322	BCC2	悸	
136303	48323	BCC3	济	
136304	48324	BCC4	寄	
136305	48325	BCC5	寂	
136306	48326	BCC6	计	
136307	48327	BCC7	记	
136310	48328	BCC8	既	
136311	48329	BCC9	忌	
136312	48330	BCCA	际	
136313	48331	BCCB	妓	
136314	48332	BCCC	继	
136315	48333	BCCD	纪	
136316	48334	BCCE	嘉	
136317	48335	BCCF	枷	
136320	48336	BCD0	夹	
136321	48337	BCD1	佳	
136322	48338	BCD2	家	
136323	48339	BCD3	加	
136324	48340	BCD4	荚	
136325	48341	BCD5	颊	
136326	48342	BCD6	贾	
136327	48343	BCD7	甲	
136330	48344	BCD8	钾	
136331	48345	BCD9	假	
136332	48346	BCDA	稼	
136333	48347	BCDB	价	
136334	48348	BCDC	架	
136335	48349	BCDD	驾	
136336	48350	BCDE	嫁	
136337	48351	BCDF	歼	
136340	48352	BCE0	监	
136341	48353	BCE1	坚	
136342	48354	BCE2	尖	
136343	48355	BCE3	笺	
136344	48356	BCE4	间	
136345	48357	BCE5	煎	
136346	48358	BCE6	兼	
136347	48359	BCE7	肩	
136350	48360	BCE8	艰	
136351	48361	BCE9	奸	
136352	48362	BCEA	缄	
136353	48363	BCEB	茧	
136354	48364	BCEC	检	
136355	48365	BCED	柬	
136356	48366	BCEE	碱	
136357	48367	BCEF	硷	
136360	48368	BCF0	拣	
136361	48369	BCF1	捡	
136362	48370	BCF2	简	
136363	48371	BCF3	俭	
136364	48372	BCF4	剪	
136365	48373	BCF5	减	
136366	48374	BCF6	荐	
136367	48375	BCF7	槛	
136370	48376	BCF8	鉴	
136371	48377	BCF9	践	
136372	48378	BCFA	贱	
136373	48379	BCFB	见	
136374	48380	BCFC	键	
136375	48381	BCFD	箭	
136376	48382	BCFE	件	
136641	48545	BDA1	健	
136642	48546	BDA2	舰	
136643	48547	BDA3	剑	
136644	48548	BDA4	饯	
136645	48549	BDA5	渐	
136646	48550	BDA6	溅	
136647	48551	BDA7	涧	
136650	48552	BDA8	建	
136651	48553	BDA9	僵	
136652	48554	BDAA	姜	
136653	48555	BDAB	将	
136654	48556	BDAC	浆	
136655	48557	BDAD	江	
136656	48558	BDAE	疆	
136657	48559	BDAF	蒋	
136660	48560	BDB0	桨	
136661	48561	BDB1	奖	
136662	48562	BDB2	讲	
136663	48563	BDB3	匠	
136664	48564	BDB4	酱	
136665	48565	BDB5	降	
136666	48566	BDB6	蕉	
136667	48567	BDB7	椒	
136670	48568	BDB8	礁	
136671	48569	BDB9	焦	
136672	48570	BDBA	胶	
136673	48571	BDBB	交	
136674	48572	BDBC	郊	
136675	48573	BDBD	浇	
136676	48574	BDBE	骄	
136677	48575	BDBF	娇	
136700	48576	BDC0	嚼	
136701	48577	BDC1	搅	
136702	48578	BDC2	铰	
136703	48579	BDC3	矫	
136704	48580	BDC4	侥	
136705	48581	BDC5	脚	
136706	48582	BDC6	狡	
136707	48583	BDC7	角	
136710	48584	BDC8	饺	
136711	48585	BDC9	缴	
136712	48586	BDCA	绞	
136713	48587	BDCB	剿	
136714	48588	BDCC	教	
136715	48589	BDCD	酵	
136716	48590	BDCE	轿	
136717	48591	BDCF	较	
136720	48592	BDD0	叫	
136721	48593	BDD1	窖	
136722	48594	BDD2	揭	
136723	48595	BDD3	接	
136724	48596	BDD4	皆	
136725	48597	BDD5	秸	
136726	48598	BDD6	街	
136727	48599	BDD7	阶	
136730	48600	BDD8	截	
136731	48601	BDD9	劫	
136732	48602	BDDA	节	
136733	48603	BDDB	桔	
136734	48604	BDDC	杰	
136735	48605	BDDD	捷	
136736	48606	BDDE	睫	
136737	48607	BDDF	竭	
136740	48608	BDE0	洁	
136741	48609	BDE1	结	
136742	48610	BDE2	解	
136743	48611	BDE3	姐	
136744	48612	BDE4	戒	
136745	48613	BDE5	藉	
136746	48614	BDE6	芥	
136747	48615	BDE7	界	
136750	48616	BDE8	借	
136751	48617	BDE9	介	
136752	48618	BDEA	疥	
136753	48619	BDEB	诫	
136754	48620	BDEC	届	
136755	48621	BDED	巾	
136756	48622	BDEE	筋	
136757	48623	BDEF	斤	
136760	48624	BDF0	金	
136761	48625	BDF1	今	
136762	48626	BDF2	津	
136763	48627	BDF3	襟	
136764	48628	BDF4	紧	
136765	48629	BDF5	锦	
136766	48630	BDF6	仅	
136767	48631	BDF7	谨	
136770	48632	BDF8	进	
136771	48633	BDF9	靳	
136772	48634	BDFA	晋	
136773	48635	BDFB	禁	
136774	48636	BDFC	近	
136775	48637	BDFD	烬	
136776	48638	BDFE	浸	
137241	48801	BEA1	尽	
137242	48802	BEA2	劲	
137243	48803	BEA3	荆	
137244	48804	BEA4	兢	
137245	48805	BEA5	茎	
137246	48806	BEA6	睛	
137247	48807	BEA7	晶	
137250	48808	BEA8	鲸	
137251	48809	BEA9	京	
137252	48810	BEAA	惊	
137253	48811	BEAB	精	
137254	48812	BEAC	粳	
137255	48813	BEAD	经	
137256	48814	BEAE	井	
137257	48815	BEAF	警	
137260	48816	BEB0	景	
137261	48817	BEB1	颈	
137262	48818	BEB2	静	
137263	48819	BEB3	境	
137264	48820	BEB4	敬	
137265	48821	BEB5	镜	
137266	48822	BEB6	径	
137267	48823	BEB7	痉	
137270	48824	BEB8	靖	
137271	48825	BEB9	竟	
137272	48826	BEBA	竞	
137273	48827	BEBB	净	
137274	48828	BEBC	炯	
137275	48829	BEBD	窘	
137276	48830	BEBE	揪	
137277	48831	BEBF	究	
137300	48832	BEC0	纠	
137301	48833	BEC1	玖	
137302	48834	BEC2	韭	
137303	48835	BEC3	久	
137304	48836	BEC4	灸	
137305	48837	BEC5	九	
137306	48838	BEC6	酒	
137307	48839	BEC7	厩	
137310	48840	BEC8	救	
137311	48841	BEC9	旧	
137312	48842	BECA	臼	
137313	48843	BECB	舅	
137314	48844	BECC	咎	
137315	48845	BECD	就	
137316	48846	BECE	疚	
137317	48847	BECF	鞠	
137320	48848	BED0	拘	
137321	48849	BED1	狙	
137322	48850	BED2	疽	
137323	48851	BED3	居	
137324	48852	BED4	驹	
137325	48853	BED5	菊	
137326	48854	BED6	局	
137327	48855	BED7	咀	
137330	48856	BED8	矩	
137331	48857	BED9	举	
137332	48858	BEDA	沮	
137333	48859	BEDB	聚	
137334	48860	BEDC	拒	
137335	48861	BEDD	据	
137336	48862	BEDE	巨	
137337	48863	BEDF	具	
137340	48864	BEE0	距	
137341	48865	BEE1	踞	
137342	48866	BEE2	锯	
137343	48867	BEE3	俱	
137344	48868	BEE4	句	
137345	48869	BEE5	惧	
137346	48870	BEE6	炬	
137347	48871	BEE7	剧	
137350	48872	BEE8	捐	
137351	48873	BEE9	鹃	
137352	48874	BEEA	娟	
137353	48875	BEEB	倦	
137354	48876	BEEC	眷	
137355	48877	BEED	卷	
137356	48878	BEEE	绢	
137357	48879	BEEF	撅	
137360	48880	BEF0	攫	
137361	48881	BEF1	抉	
137362	48882	BEF2	掘	
137363	48883	BEF3	倔	
137364	48884	BEF4	爵	
137365	48885	BEF5	觉	
137366	48886	BEF6	决	
137367	48887	BEF7	诀	
137370	48888	BEF8	绝	
137371	48889	BEF9	均	
137372	48890	BEFA	菌	
137373	48891	BEFB	钧	
137374	48892	BEFC	军	
137375	48893	BEFD	君	
137376	48894	BEFE	峻	
137641	49057	BFA1	俊	
137642	49058	BFA2	竣	
137643	49059	BFA3	浚	
137644	49060	BFA4	郡	
137645	49061	BFA5	骏	
137646	49062	BFA6	喀	
137647	49063	BFA7	咖	
137650	49064	BFA8	卡	
137651	49065	BFA9	咯	
137652	49066	BFAA	开	
137653	49067	BFAB	揩	
137654	49068	BFAC	楷	
137655	49069	BFAD	凯	
137656	49070	BFAE	慨	
137657	49071	BFAF	刊	
137660	49072	BFB0	堪	
137661	49073	BFB1	勘	
137662	49074	BFB2	坎	
137663	49075	BFB3	砍	
137664	49076	BFB4	看	
137665	49077	BFB5	康	
137666	49078	BFB6	慷	
137667	49079	BFB7	糠	
137670	49080	BFB8	扛	
137671	49081	BFB9	抗	
137672	49082	BFBA	亢	
137673	49083	BFBB	炕	
137674	49084	BFBC	考	
137675	49085	BFBD	拷	
137676	49086	BFBE	烤	
137677	49087	BFBF	靠	
137700	49088	BFC0	坷	
137701	49089	BFC1	苛	
137702	49090	BFC2	柯	
137703	49091	BFC3	棵	
137704	49092	BFC4	磕	
137705	49093	BFC5	颗	
137706	49094	BFC6	科	
137707	49095	BFC7	壳	
137710	49096	BFC8	咳	
137711	49097	BFC9	可	
137712	49098	BFCA	渴	
137713	49099	BFCB	克	
137714	49100	BFCC	刻	
137715	49101	BFCD	客	
137716	49102	BFCE	课	
137717	49103	BFCF	肯	
137720	49104	BFD0	啃	
137721	49105	BFD1	垦	
137722	49106	BFD2	恳	
137723	49107	BFD3	坑	
137724	49108	BFD4	吭	
137725	49109	BFD5	空	
137726	49110	BFD6	恐	
137727	49111	BFD7	孔	
137730	49112	BFD8	控	
137731	49113	BFD9	抠	
137732	49114	BFDA	口	
137733	49115	BFDB	扣	
137734	49116	BFDC	寇	
137735	49117	BFDD	枯	
137736	49118	BFDE	哭	
137737	49119	BFDF	窟	
137740	49120	BFE0	苦	
137741	49121	BFE1	酷	
137742	49122	BFE2	库	
137743	49123	BFE3	裤	
137744	49124	BFE4	夸	
137745	49125	BFE5	垮	
137746	49126	BFE6	挎	
137747	49127	BFE7	跨	
137750	49128	BFE8	胯	
137751	49129	BFE9	块	
137752	49130	BFEA	筷	
137753	49131	BFEB	侩	
137754	49132	BFEC	快	
137755	49133	BFED	宽	
137756	49134	BFEE	款	
137757	49135	BFEF	匡	
137760	49136	BFF0	筐	
137761	49137	BFF1	狂	
137762	49138	BFF2	框	
137763	49139	BFF3	矿	
137764	49140	BFF4	眶	
137765	49141	BFF5	旷	
137766	49142	BFF6	况	
137767	49143	BFF7	亏	
137770	49144	BFF8	盔	
137771	49145	BFF9	岿	
137772	49146	BFFA	窥	
137773	49147	BFFB	葵	
137774	49148	BFFC	奎	
137775	49149	BFFD	魁	
137776	49150	BFFE	傀	
140241	49313	C0A1	馈	
140242	49314	C0A2	愧	
140243	49315	C0A3	溃	
140244	49316	C0A4	坤	
140245	49317	C0A5	昆	
140246	49318	C0A6	捆	
140247	49319	C0A7	困	
140250	49320	C0A8	括	
140251	49321	C0A9	扩	
140252	49322	C0AA	廓	
140253	49323	C0AB	阔	
140254	49324	C0AC	垃	
140255	49325	C0AD	拉	
140256	49326	C0AE	喇	
140257	49327	C0AF	蜡	
140260	49328	C0B0	腊	
140261	49329	C0B1	辣	
140262	49330	C0B2	啦	
140263	49331	C0B3	莱	
140264	49332	C0B4	来	
140265	49333	C0B5	赖	
140266	49334	C0B6	蓝	
140267	49335	C0B7	婪	
140270	49336	C0B8	栏	
140271	49337	C0B9	拦	
140272	49338	C0BA	篮	
140273	49339	C0BB	阑	
140274	49340	C0BC	兰	
140275	49341	C0BD	澜	
140276	49342	C0BE	谰	
140277	49343	C0BF	揽	
140300	49344	C0C0	览	
140301	49345	C0C1	懒	
140302	49346	C0C2	缆	
140303	49347	C0C3	烂	
140304	49348	C0C4	滥	
140305	49349	C0C5	琅	
140306	49350	C0C6	榔	
140307	49351	C0C7	狼	
140310	49352	C0C8	廊	
140311	49353	C0C9	郎	
140312	49354	C0CA	朗	
140313	49355	C0CB	浪	
140314	49356	C0CC	捞	
140315	49357	C0CD	劳	
140316	49358	C0CE	牢	
140317	49359	C0CF	老	
140320	49360	C0D0	佬	
140321	49361	C0D1	姥	
140322	49362	C0D2	酪	
140323	49363	C0D3	烙	
140324	49364	C0D4	涝	
140325	49365	C0D5	勒	
140326	49366	C0D6	乐	
140327	49367	C0D7	雷	
140330	49368	C0D8	镭	
140331	49369	C0D9	蕾	
140332	49370	C0DA	磊	
140333	49371	C0DB	累	
140334	49372	C0DC	儡	
140335	49373	C0DD	垒	
140336	49374	C0DE	擂	
140337	49375	C0DF	肋	
140340	49376	C0E0	类	
140341	49377	C0E1	泪	
140342	49378	C0E2	棱	
140343	49379	C0E3	楞	
140344	49380	C0E4	冷	
140345	49381	C0E5	厘	
140346	49382	C0E6	梨	
140347	49383	C0E7	犁	
140350	49384	C0E8	黎	
140351	49385	C0E9	篱	
140352	49386	C0EA	狸	
140353	49387	C0EB	离	
140354	49388	C0EC	漓	
140355	49389	C0ED	理	
140356	49390	C0EE	李	
140357	49391	C0EF	里	
140360	49392	C0F0	鲤	
140361	49393	C0F1	礼	
140362	49394	C0F2	莉	
140363	49395	C0F3	荔	
140364	49396	C0F4	吏	
140365	49397	C0F5	栗	
140366	49398	C0F6	丽	
140367	49399	C0F7	厉	
140370	49400	C0F8	励	
140371	49401	C0F9	砾	
140372	49402	C0FA	历	
140373	49403	C0FB	利	
140374	49404	C0FC	傈	
140375	49405	C0FD	例	
140376	49406	C0FE	俐	
140641	49569	C1A1	痢	
140642	49570	C1A2	立	
140643	49571	C1A3	粒	
140644	49572	C1A4	沥	
140645	49573	C1A5	隶	
140646	49574	C1A6	力	
140647	49575	C1A7	璃	
140650	49576	C1A8	哩	
140651	49577	C1A9	俩	
140652	49578	C1AA	联	
140653	49579	C1AB	莲	
140654	49580	C1AC	连	
140655	49581	C1AD	镰	
140656	49582	C1AE	廉	
140657	49583	C1AF	怜	
140660	49584	C1B0	涟	
140661	49585	C1B1	帘	
140662	49586	C1B2	敛	
140663	49587	C1B3	脸	
140664	49588	C1B4	链	
140665	49589	C1B5	恋	
140666	49590	C1B6	炼	
140667	49591	C1B7	练	
140670	49592	C1B8	粮	
140671	49593	C1B9	凉	
140672	49594	C1BA	梁	
140673	49595	C1BB	粱	
140674	49596	C1BC	良	
140675	49597	C1BD	两	
140676	49598	C1BE	辆	
140677	49599	C1BF	量	
140700	49600	C1C0	晾	
140701	49601	C1C1	亮	
140702	49602	C1C2	谅	
140703	49603	C1C3	撩	
140704	49604	C1C4	聊	
140705	49605	C1C5	僚	
140706	49606	C1C6	疗	
140707	49607	C1C7	燎	
140710	49608	C1C8	寥	
140711	49609	C1C9	辽	
140712	49610	C1CA	潦	
140713	49611	C1CB	了	
140714	49612	C1CC	撂	
140715	49613	C1CD	镣	
140716	49614	C1CE	廖	
140717	49615	C1CF	料	
140720	49616	C1D0	列	
140721	49617	C1D1	裂	
140722	49618	C1D2	烈	
140723	49619	C1D3	劣	
140724	49620	C1D4	猎	
140725	49621	C1D5	琳	
140726	49622	C1D6	林	
140727	49623	C1D7	磷	
140730	49624	C1D8	霖	
140731	49625	C1D9	临	
140732	49626	C1DA	邻	
140733	49627	C1DB	鳞	
140734	49628	C1DC	淋	
140735	49629	C1DD	凛	
140736	49630	C1DE	赁	
140737	49631	C1DF	吝	
140740	49632	C1E0	拎	
140741	49633	C1E1	玲	
140742	49634	C1E2	菱	
140743	49635	C1E3	零	
140744	49636	C1E4	龄	
140745	49637	C1E5	铃	
140746	49638	C1E6	伶	
140747	49639	C1E7	羚	
140750	49640	C1E8	凌	
140751	49641	C1E9	灵	
140752	49642	C1EA	陵	
140753	49643	C1EB	岭	
140754	49644	C1EC	领	
140755	49645	C1ED	另	
140756	49646	C1EE	令	
140757	49647	C1EF	溜	
140760	49648	C1F0	琉	
140761	49649	C1F1	榴	
140762	49650	C1F2	硫	
140763	49651	C1F3	馏	
140764	49652	C1F4	留	
140765	49653	C1F5	刘	
140766	49654	C1F6	瘤	
140767	49655	C1F7	流	
140770	49656	C1F8	柳	
140771	49657	C1F9	六	
140772	49658	C1FA	龙	
140773	49659	C1FB	聋	
140774	49660	C1FC	咙	
140775	49661	C1FD	笼	
140776	49662	C1FE	窿	
141241	49825	C2A1	隆	
141242	49826	C2A2	垄	
141243	49827	C2A3	拢	
141244	49828	C2A4	陇	
141245	49829	C2A5	楼	
141246	49830	C2A6	娄	
141247	49831	C2A7	搂	
141250	49832	C2A8	篓	
141251	49833	C2A9	漏	
141252	49834	C2AA	陋	
141253	49835	C2AB	芦	
141254	49836	C2AC	卢	
141255	49837	C2AD	颅	
141256	49838	C2AE	庐	
141257	49839	C2AF	炉	
141260	49840	C2B0	掳	
141261	49841	C2B1	卤	
141262	49842	C2B2	虏	
141263	49843	C2B3	鲁	
141264	49844	C2B4	麓	
141265	49845	C2B5	碌	
141266	49846	C2B6	露	
141267	49847	C2B7	路	
141270	49848	C2B8	赂	
141271	49849	C2B9	鹿	
141272	49850	C2BA	潞	
141273	49851	C2BB	禄	
141274	49852	C2BC	录	
141275	49853	C2BD	陆	
141276	49854	C2BE	戮	
141277	49855	C2BF	驴	
141300	49856	C2C0	吕	
141301	49857	C2C1	铝	
141302	49858	C2C2	侣	
141303	49859	C2C3	旅	
141304	49860	C2C4	履	
141305	49861	C2C5	屡	
141306	49862	C2C6	缕	
141307	49863	C2C7	虑	
141310	49864	C2C8	氯	
141311	49865	C2C9	律	
141312	49866	C2CA	率	
141313	49867	C2CB	滤	
141314	49868	C2CC	绿	
141315	49869	C2CD	峦	
141316	49870	C2CE	挛	
141317	49871	C2CF	孪	
141320	49872	C2D0	滦	
141321	49873	C2D1	卵	
141322	49874	C2D2	乱	
141323	49875	C2D3	掠	
141324	49876	C2D4	略	
141325	49877	C2D5	抡	
141326	49878	C2D6	轮	
141327	49879	C2D7	伦	
141330	49880	C2D8	仑	
141331	49881	C2D9	沦	
141332	49882	C2DA	纶	
141333	49883	C2DB	论	
141334	49884	C2DC	萝	
141335	49885	C2DD	螺	
141336	49886	C2DE	罗	
141337	49887	C2DF	逻	
141340	49888	C2E0	锣	
141341	49889	C2E1	箩	
141342	49890	C2E2	骡	
141343	49891	C2E3	裸	
141344	49892	C2E4	落	
141345	49893	C2E5	洛	
141346	49894	C2E6	骆	
141347	49895	C2E7	络	
141350	49896	C2E8	妈	
141351	49897	C2E9	麻	
141352	49898	C2EA	玛	
141353	49899	C2EB	码	
141354	49900	C2EC	蚂	
141355	49901	C2ED	马	
141356	49902	C2EE	骂	
141357	49903	C2EF	嘛	
141360	49904	C2F0	吗	
141361	49905	C2F1	埋	
141362	49906	C2F2	买	
141363	49907	C2F3	麦	
141364	49908	C2F4	卖	
141365	49909	C2F5	迈	
141366	49910	C2F6	脉	
141367	49911	C2F7	瞒	
141370	49912	C2F8	馒	
141371	49913	C2F9	蛮	
141372	49914	C2FA	满	
141373	49915	C2FB	蔓	
141374	49916	C2FC	曼	
141375	49917	C2FD	慢	
141376	49918	C2FE	漫	
141641	50081	C3A1	谩	
141642	50082	C3A2	芒	
141643	50083	C3A3	茫	
141644	50084	C3A4	盲	
141645	50085	C3A5	氓	
141646	50086	C3A6	忙	
141647	50087	C3A7	莽	
141650	50088	C3A8	猫	
141651	50089	C3A9	茅	
141652	50090	C3AA	锚	
141653	50091	C3AB	毛	
141654	50092	C3AC	矛	
141655	50093	C3AD	铆	
141656	50094	C3AE	卯	
141657	50095	C3AF	茂	
141660	50096	C3B0	冒	
141661	50097	C3B1	帽	
141662	50098	C3B2	貌	
141663	50099	C3B3	贸	
141664	50100	C3B4	么	
141665	50101	C3B5	玫	
141666	50102	C3B6	枚	
141667	50103	C3B7	梅	
141670	50104	C3B8	酶	
141671	50105	C3B9	霉	
141672	50106	C3BA	煤	
141673	50107	C3BB	没	
141674	50108	C3BC	眉	
141675	50109	C3BD	媒	
141676	50110	C3BE	镁	
141677	50111	C3BF	每	
141700	50112	C3C0	美	
141701	50113	C3C1	昧	
141702	50114	C3C2	寐	
141703	50115	C3C3	妹	
141704	50116	C3C4	媚	
141705	50117	C3C5	门	
141706	50118	C3C6	闷	
141707	50119	C3C7	们	
141710	50120	C3C8	萌	
141711	50121	C3C9	蒙	
141712	50122	C3CA	檬	
141713	50123	C3CB	盟	
141714	50124	C3CC	锰	
141715	50125	C3CD	猛	
141716	50126	C3CE	梦	
141717	50127	C3CF	孟	
141720	50128	C3D0	眯	
141721	50129	C3D1	醚	
141722	50130	C3D2	靡	
141723	50131	C3D3	糜	
141724	50132	C3D4	迷	
141725	50133	C3D5	谜	
141726	50134	C3D6	弥	
141727	50135	C3D7	米	
141730	50136	C3D8	秘	
141731	50137	C3D9	觅	
141732	50138	C3DA	泌	
141733	50139	C3DB	蜜	
141734	50140	C3DC	密	
141735	50141	C3DD	幂	
141736	50142	C3DE	棉	
141737	50143	C3DF	眠	
141740	50144	C3E0	绵	
141741	50145	C3E1	冕	
141742	50146	C3E2	免	
141743	50147	C3E3	勉	
141744	50148	C3E4	娩	
141745	50149	C3E5	缅	
141746	50150	C3E6	面	
141747	50151	C3E7	苗	
141750	50152	C3E8	描	
141751	50153	C3E9	瞄	
141752	50154	C3EA	藐	
141753	50155	C3EB	秒	
141754	50156	C3EC	渺	
141755	50157	C3ED	庙	
141756	50158	C3EE	妙	
141757	50159	C3EF	蔑	
141760	50160	C3F0	灭	
141761	50161	C3F1	民	
141762	50162	C3F2	抿	
141763	50163	C3F3	皿	
141764	50164	C3F4	敏	
141765	50165	C3F5	悯	
141766	50166	C3F6	闽	
141767	50167	C3F7	明	
141770	50168	C3F8	螟	
141771	50169	C3F9	鸣	
141772	50170	C3FA	铭	
141773	50171	C3FB	名	
141774	50172	C3FC	命	
141775	50173	C3FD	谬	
141776	50174	C3FE	摸	
142241	50337	C4A1	摹	
142242	50338	C4A2	蘑	
142243	50339	C4A3	模	
142244	50340	C4A4	膜	
142245	50341	C4A5	磨	
142246	50342	C4A6	摩	
142247	50343	C4A7	魔	
142250	50344	C4A8	抹	
142251	50345	C4A9	末	
142252	50346	C4AA	莫	
142253	50347	C4AB	墨	
142254	50348	C4AC	默	
142255	50349	C4AD	沫	
142256	50350	C4AE	漠	
142257	50351	C4AF	寞	
142260	50352	C4B0	陌	
142261	50353	C4B1	谋	
142262	50354	C4B2	牟	
142263	50355	C4B3	某	
142264	50356	C4B4	拇	
142265	50357	C4B5	牡	
142266	50358	C4B6	亩	
142267	50359	C4B7	姆	
142270	50360	C4B8	母	
142271	50361	C4B9	墓	
142272	50362	C4BA	暮	
142273	50363	C4BB	幕	
142274	50364	C4BC	募	
142275	50365	C4BD	慕	
142276	50366	C4BE	木	
142277	50367	C4BF	目	
142300	50368	C4C0	睦	
142301	50369	C4C1	牧	
142302	50370	C4C2	穆	
142303	50371	C4C3	拿	
142304	50372	C4C4	哪	
142305	50373	C4C5	呐	
142306	50374	C4C6	钠	
142307	50375	C4C7	那	
142310	50376	C4C8	娜	
142311	50377	C4C9	纳	
142312	50378	C4CA	氖	
142313	50379	C4CB	乃	
142314	50380	C4CC	奶	
142315	50381	C4CD	耐	
142316	50382	C4CE	奈	
142317	50383	C4CF	南	
142320	50384	C4D0	男	
142321	50385	C4D1	难	
142322	50386	C4D2	囊	
142323	50387	C4D3	挠	
142324	50388	C4D4	脑	
142325	50389	C4D5	恼	
142326	50390	C4D6	闹	
142327	50391	C4D7	淖	
142330	50392	C4D8	呢	
142331	50393	C4D9	馁	
142332	50394	C4DA	内	
142333	50395	C4DB	嫩	
142334	50396	C4DC	能	
142335	50397	C4DD	妮	
142336	50398	C4DE	霓	
142337	50399	C4DF	倪	
142340	50400	C4E0	泥	
142341	50401	C4E1	尼	
142342	50402	C4E2	拟	
142343	50403	C4E3	你	
142344	50404	C4E4	匿	
142345	50405	C4E5	腻	
142346	50406	C4E6	逆	
142347	50407	C4E7	溺	
142350	50408	C4E8	蔫	
142351	50409	C4E9	拈	
142352	50410	C4EA	年	
142353	50411	C4EB	碾	
142354	50412	C4EC	撵	
142355	50413	C4ED	捻	
142356	50414	C4EE	念	
142357	50415	C4EF	娘	
142360	50416	C4F0	酿	
142361	50417	C4F1	鸟	
142362	50418	C4F2	尿	
142363	50419	C4F3	捏	
142364	50420	C4F4	聂	
142365	50421	C4F5	孽	
142366	50422	C4F6	啮	
142367	50423	C4F7	镊	
142370	50424	C4F8	镍	
142371	50425	C4F9	涅	
142372	50426	C4FA	您	
142373	50427	C4FB	柠	
142374	50428	C4FC	狞	
142375	50429	C4FD	凝	
142376	50430	C4FE	宁	
142641	50593	C5A1	拧	
142642	50594	C5A2	泞	
142643	50595	C5A3	牛	
142644	50596	C5A4	扭	
142645	50597	C5A5	钮	
